stage_id,label,description,color,icon,is_milestone,is_ipv,is_executable,sequence_order,flow_group
UNASSIGNED,Unassigned,Not yet assigned to a stage,slate,circle,false,false,false,0,setup
READY_TO_LAY,Ready to Lay,Kitted / ready for build up - Team Lead assigns,blue,package,true,false,false,1,build
BUILD_UP,Build Up,Active Build Up execution,amber,hammer,false,false,true,2,build
READY_TO_WIRE,Build Up IPV,Build Up verification required by different user,orange,eye,true,true,false,3,build
WIRING,Wiring,Active Wiring execution,purple,cable,false,false,true,4,wire
READY_FOR_VISUAL,Wire IPV,Wire verification stage by different user,sky,eye,true,true,false,5,wire
READY_TO_HANG,Ready to Hang,Wiring complete - Team Lead assigns next step,indigo,move,true,false,false,6,wire
BOX_BUILD,Box Build,Active Box Build execution,fuchsia,box,false,false,true,7,box
CROSS_WIRE,Cross Wire,Cross Wiring execution when panels ready,pink,git-merge,false,false,true,8,box
READY_TO_TEST,Ready to Test,Cross Wire complete - Team Lead assigns testing,cyan,clipboard-check,true,false,false,9,test
TEST_1ST_PASS,1st Pass Test,First test pass execution,teal,zap,false,false,true,10,test
PWR_CHECK,Power Check,Power check in progress,green,power,false,false,true,11,test
READY_FOR_BIQ,Ready for BIQ,Power check complete - Team Lead assigns BIQ,emerald,award,true,false,false,12,test
FINISHED_BIQ,Finished BIQ,Final BIQ complete - lifecycle ends,lime,check-circle-2,false,false,false,13,complete
